strain	date	region	country	is_lab_host	host	genbank_accession	authors
Turkey/PP_000QZZM.3/2017-07-01	2017-07-28	Europe	Turkey		Rhipicephalus turanicus	MN811032.1	Ergunay, K.; Dincer, E.; Kar, S.; Emanet, N.; Yalcinkaya, D.; Polat Dincer, P. F.; Brinkmann, A.; Hacioglu, S.; Nitsche, A.; Ozkul, A.; Linton, Y. M.; Ergunay, C.
China/PP_000R049.3/2015-01-01	2015-05-28	Asia	China		Hyalomma asiaticum	MN832723.1	Li, Y.; Yan, C.
India/PP_000R0P4.3/2018-01-01	2018-05-28	Asia	India		Homo sapiens	MN866127.1	Sahay, R. R.; Dhandore, S.; Chauhan, A.; Bhatt, L.; Garg, V.; Gupta, N.; Nyayanit, D. A.; Shete, A. M.; Singh, R.; Patil, S.; Sharma, H.; Meena, D.; Gawande, P.; Kalele, K.; Jain, R.; Mali, D.; Malhotra, B.; Nag, V.; Kaur, H.; Singh, N.; Singh, S.; Gopalkrishnan, M.; Yadav, P. D.; Yadav, P.
India/PP_000R0R0.3/2019-01-01	2019-05-28	Asia	India		Homo sapiens	MN866130.1	Sahay, R. R.; Dhandore, S.; Chauhan, A.; Bhatt, L.; Garg, V.; Gupta, N.; Nyayanit, D. A.; Shete, A. M.; Singh, R.; Patil, S.; Sharma, H.; Meena, D.; Gawande, P.; Kalele, K.; Jain, R.; Mali, D.; Malhotra, B.; Nag, V.; Kaur, H.; Singh, N.; Singh, S.; Gopalkrishnan, M.; Yadav, P. D.; Yadav, P.
India/PP_000R0SY.3/2019-01-01	2019-05-28	Asia	India		Homo sapiens	MN866133.1	Sahay, R. R.; Dhandore, S.; Chauhan, A.; Bhatt, L.; Garg, V.; Gupta, N.; Nyayanit, D. A.; Shete, A. M.; Singh, R.; Patil, S.; Sharma, H.; Meena, D.; Gawande, P.; Kalele, K.; Jain, R.; Mali, D.; Malhotra, B.; Nag, V.; Kaur, H.; Singh, N.; Singh, S.; Gopalkrishnan, M.; Yadav, P. D.; Yadav, P.
India/PP_000R0TW.3/2019-01-01	2019-05-28	Asia	India		Homo sapiens	MN866136.1	Sahay, R. R.; Dhandore, S.; Chauhan, A.; Bhatt, L.; Garg, V.; Gupta, N.; Nyayanit, D. A.; Shete, A. M.; Singh, R.; Patil, S.; Sharma, H.; Meena, D.; Gawande, P.; Kalele, K.; Jain, R.; Mali, D.; Malhotra, B.; Nag, V.; Kaur, H.; Singh, N.; Singh, S.; Gopalkrishnan, M.; Yadav, P. D.; Yadav, P.
India/PP_000R0UU.3/2019-01-01	2019-05-28	Asia	India		Homo sapiens	MN866139.1	Sahay, R. R.; Dhandore, S.; Chauhan, A.; Bhatt, L.; Garg, V.; Gupta, N.; Nyayanit, D. A.; Shete, A. M.; Singh, R.; Patil, S.; Sharma, H.; Meena, D.; Gawande, P.; Kalele, K.; Jain, R.; Mali, D.; Malhotra, B.; Nag, V.; Kaur, H.; Singh, N.; Singh, S.; Gopalkrishnan, M.; Yadav, P. D.; Yadav, P.
India/PP_000R0WQ.3/2019-01-01	2019-05-28	Asia	India		Homo sapiens	MN866142.1	Sahay, R. R.; Dhandore, S.; Chauhan, A.; Bhatt, L.; Garg, V.; Gupta, N.; Nyayanit, D. A.; Shete, A. M.; Singh, R.; Patil, S.; Sharma, H.; Meena, D.; Gawande, P.; Kalele, K.; Jain, R.; Mali, D.; Malhotra, B.; Nag, V.; Kaur, H.; Singh, N.; Singh, S.; Gopalkrishnan, M.; Yadav, P. D.; Yadav, P.
India/PP_000R0XN.3/2019-01-01	2019-05-28	Asia	India		Homo sapiens	MN866145.1	Sahay, R. R.; Dhandore, S.; Chauhan, A.; Bhatt, L.; Garg, V.; Gupta, N.; Nyayanit, D. A.; Shete, A. M.; Singh, R.; Patil, S.; Sharma, H.; Meena, D.; Gawande, P.; Kalele, K.; Jain, R.; Mali, D.; Malhotra, B.; Nag, V.; Kaur, H.; Singh, N.; Singh, S.; Gopalkrishnan, M.; Yadav, P. D.; Yadav, P.
India/PP_000R0YL.3/2019-01-01	2019-05-28	Asia	India		Homo sapiens	MN866148.1	Sahay, R. R.; Dhandore, S.; Chauhan, A.; Bhatt, L.; Garg, V.; Gupta, N.; Nyayanit, D. A.; Shete, A. M.; Singh, R.; Patil, S.; Sharma, H.; Meena, D.; Gawande, P.; Kalele, K.; Jain, R.; Mali, D.; Malhotra, B.; Nag, V.; Kaur, H.; Singh, N.; Singh, S.; Gopalkrishnan, M.; Yadav, P. D.; Yadav, P.
India/PP_000R0ZJ.3/2019-01-01	2019-05-28	Asia	India		Homo sapiens	MN866151.1	Sahay, R. R.; Dhandore, S.; Chauhan, A.; Bhatt, L.; Garg, V.; Gupta, N.; Nyayanit, D. A.; Shete, A. M.; Singh, R.; Patil, S.; Sharma, H.; Meena, D.; Gawande, P.; Kalele, K.; Jain, R.; Mali, D.; Malhotra, B.; Nag, V.; Kaur, H.; Singh, N.; Singh, S.; Gopalkrishnan, M.; Yadav, P. D.; Yadav, P.
India/PP_000R11E.3/2019-01-01	2019-05-28	Asia	India		Homo sapiens	MN866155.1	Sahay, R. R.; Dhandore, S.; Chauhan, A.; Bhatt, L.; Garg, V.; Gupta, N.; Nyayanit, D. A.; Shete, A. M.; Singh, R.; Patil, S.; Sharma, H.; Meena, D.; Gawande, P.; Kalele, K.; Jain, R.; Mali, D.; Malhotra, B.; Nag, V.; Kaur, H.; Singh, N.; Singh, S.; Gopalkrishnan, M.; Yadav, P. D.; Yadav, P.
India/PP_000R13A.3/2019-01-01	2019-05-28	Asia	India		Homo sapiens	MN866160.1	Sahay, R. R.; Dhandore, S.; Chauhan, A.; Bhatt, L.; Garg, V.; Gupta, N.; Nyayanit, D. A.; Shete, A. M.; Singh, R.; Patil, S.; Sharma, H.; Meena, D.; Gawande, P.; Kalele, K.; Jain, R.; Mali, D.; Malhotra, B.; Nag, V.; Kaur, H.; Singh, N.; Singh, S.; Gopalkrishnan, M.; Yadav, P. D.; Yadav, P.
